GATE_SU_DS: -446.2366><-442.6688><-584.225><-597.8437><2><><48><35
GATE_SU_HI: 235.9371><314.0334><275.6439><559.8261><1><><48><35
GATE_LF_SU: -1936.238><82.33115><-1567.224><235.1563><1><><48><35
SU_B13: 149.6807><237.9253><153.8752><463.8063><1><Outskirts><48><78
SU_A33: 152.6811><97.92548><153.8752><332.8061><1><Outskirts><48><37
SU_B04: 389.6813><89.92558><315.8755><272.8062><1><Outskirts><106><35
SU_A34: 154.6811><96.92548><153.8752><207.8066><1><Outskirts><48><35
SU_A37: 629.6812><82.92566><589.8751><269.8062><1><Outskirts><54><35
SU_S04: 619.7636><155.0702><589.3406><390.1347><1><><48><35
SU_A63: 787.6812><73.92566><764.8751><278.8062><1><Outskirts><50><36
SU_B12: 1029.679><64.92566><934.8751><278.8066><1><Outskirts><110><35
SU_A17: 1284.679><66.92561><1203.876><258.8062><1><Outskirts><54><37
SU_A40: 1424.679><18.92558><1362.876><109.8064><0><Outskirts><50><36
SU_B07: 1187.679><-13.07435><1107.876><-5.193716><0><Outskirts><104><33
SU_A02: 951.6806><-3.074365><937.8751><-5.193726><0><Outskirts><54><35
SU_A53: 788.6812><8.925634><767.8751><-9.193666><0><Outskirts><50><38
SU_A39: 629.6812><12.92559><598.8751><88.80634><0><Outskirts><54><37
SU_A38: 624.6812><3.925634><602.8751><-55.19348><0><Outskirts><54><35
SU_A25: 714.6812><-115.0747><766.8751><-165.1939><0><><54><35
SU_A24: 713.6812><-226.0747><786.8751><-312.1939><0><><54><35
SU_A23: 541.6809><-225.0747><647.8751><-312.1939><0><><54><35
SU_A22: 438.6808><-333.0746><578.8757><-469.1939><0><><48><35
SU_C04: -93.21606><-236.6897><51.73376><-317.0308><1><><155><35
SU_A41: 220.7843><-232.6897><386.7335><-315.0308><1><><54><35
SU_A42: 229.7843><-130.6896><397.7335><-190.0309><1><><48><35
SU_A43: 381.7842><-225.6896><523.7335><-315.0308><1><><51><35
SU_A44: 374.7842><-232.6897><330.7335><-471.0308><2><><48><35
SU_S01: 325.7041><-339.4318><458.9228><-470.3365><0><><48><35
SU_A06: 455.681><3.925634><431.8754><4.806273><0><Outskirts><54><35
SU_A36: 285.6808><-1.07436><273.8755><29.80627><0><Outskirts><54><35
SU_B08: 42.68071><-10.07438><1.875456><25.80634><0><Outskirts><104><35
SU_A35: -154.3193><36.92555><-52.12448><157.8062><1><Outskirts><54><35
SU_A20: -3.319191><97.92548><6.875582><302.8062><1><Outskirts><54><35
SU_A31: -355.319><71.92558><-305.1246><112.8063><1><Outskirts><48><35
SU_A32: -653.3188><-25.07439><-537.1249><126.8065><1><Outskirts><48><35
SU_B05: -983.3205><-12.07442><-793.1249><125.8065><1><Outskirts><54><78
SU_A07: -1157.321><51.92568><-965.1246><193.8062><1><Outskirts><54><35
SU_A45: -1786.638><54.48821><-1456.011><210.0934><1><><48><35
SU_C02: -1483.321><55.92561><-1345.124><211.8062><1><Outskirts><152><35
SU_B06: -855.3191><234.9253><-706.1249><344.8063><1><Outskirts><50><78
SU_B11: -664.3188><421.9254><-630.1249><606.8059><1><Outskirts><104><35
SU_A12: -585.3188><305.9254><-476.1249><450.8063><1><Outskirts><54><35
SU_A13: -419.3192><421.9254><-382.1245><607.8059><1><Outskirts><54><35
SU_B02: -335.3192><239.9253><-316.1246><261.8062><1><Outskirts><59><78
SU_A29: -161.319><80.92561><-158.1248><311.8062><1><Outskirts><54><35
SU_B10: -202.319><-182.0747><-433.1246><-162.1938><2><Outskirts><48><78
SU_A10: -408.319><-259.0747><-488.1249><-360.1939><2><Outskirts><54><35
SU_B01: -579.3188><-292.0746><-642.1249><-443.1939><2><Outskirts><54><78
SU_S03: -417.8812><-338.3074><-487.0154><-486.2875><2><><48><35
SU_A04: -766.3188><-230.0747><-815.1249><-356.1939><2><Outskirts><54><35
SU_C01: -945.3194><-343.0746><-949.1254><-513.1941><2><Outskirts><48><112
